,hr,holiday,workingday,temp,hum,windspeed,instant,mnth,yr,Clear to partly cloudy,Light Precipitation,Misty
1,1,0,0,0.74,0.7,0.1343,13005,7,1,1,0,0
2,2,0,0,0.72,0.74,0.0896,13006,7,1,1,0,0
3,3,0,0,0.72,0.84,0.1343,13007,7,1,1,0,0
8,8,0,0,0.78,0.62,0.1045,13012,7,1,1,0,0
16,16,0,0,0.92,0.33,0.2985,13020,7,1,1,0,0
17,17,0,0,0.92,0.26,0.2985,13021,7,1,1,0,0
25,1,0,1,0.76,0.58,0.1939999999999999,13029,7,1,0,0,1
39,15,0,1,0.84,0.36,0.1939999999999999,13043,7,1,1,0,0
46,22,0,1,0.74,0.51,0.1642,13050,7,1,1,0,0
47,23,0,1,0.74,0.51,0.1045,13051,7,1,1,0,0
51,3,0,1,0.7,0.65,0.1343,13055,7,1,1,0,0
53,5,0,1,0.7,0.61,0.0,13057,7,1,1,0,0
58,10,0,1,0.82,0.43,0.2239,13062,7,1,1,0,0
60,12,0,1,0.88,0.28,0.1939999999999999,13064,7,1,1,0,0
73,1,1,0,0.68,0.74,0.0,13077,7,1,1,0,0
77,5,1,0,0.66,0.69,0.0,13081,7,1,1,0,0
88,16,1,0,0.92,0.35,0.2537,13092,7,1,1,0,0
92,20,1,0,0.86,0.47,0.2239,13096,7,1,1,0,0
96,0,0,1,0.74,0.51,0.1045,13100,7,1,1,0,0
99,3,0,1,0.72,0.54,0.1939999999999999,13103,7,1,1,0,0
106,10,0,1,0.86,0.44,0.3582,13110,7,1,1,0,0
111,15,0,1,0.92,0.33,0.3582,13115,7,1,1,0,0
113,17,0,1,0.92,0.35,0.1642,13117,7,1,1,0,0
133,13,0,1,0.9,0.27,0.1045,13137,7,1,1,0,0
135,15,0,1,0.92,0.29,0.1939999999999999,13139,7,1,1,0,0
137,17,0,1,0.92,0.29,0.0,13141,7,1,1,0,0
139,19,0,1,0.88,0.35,0.2239,13143,7,1,1,0,0
140,20,0,1,0.86,0.39,0.1045,13144,7,1,1,0,0
143,23,0,1,0.8,0.63,0.1045,13147,7,1,1,0,0
146,2,0,0,0.76,0.72,0.1642,13150,7,1,1,0,0
149,5,0,0,0.74,0.74,0.1939999999999999,13153,7,1,1,0,0
158,14,0,0,0.96,0.3,0.1343,13162,7,1,0,0,1
168,0,0,0,0.82,0.56,0.1343,13172,7,1,1,0,0
193,1,0,1,0.7,0.89,0.1045,13197,7,1,0,1,0
194,2,0,1,0.7,0.89,0.1939999999999999,13198,7,1,0,1,0
197,5,0,1,0.66,0.83,0.2239,13201,7,1,0,0,1
213,21,0,1,0.74,0.55,0.0896,13217,7,1,0,0,1
