,hr,holiday,workingday,temp,hum,windspeed,instant,mnth,yr,Clear to partly cloudy,Light Precipitation,Misty
1236,12,0,1,0.72,0.45,0.0,14240,8,1,1,0,0
1349,5,0,0,0.64,0.89,0.1939999999999999,14353,8,1,1,0,0
327,15,0,0,0.8,0.55,0.1642,13331,7,1,1,0,0
104,8,0,1,0.8,0.49,0.1343,13108,7,1,1,0,0
850,10,0,0,0.8,0.59,0.4179,13854,8,1,1,0,0
261,21,0,1,0.72,0.58,0.2239,13265,7,1,1,0,0
814,22,0,1,0.76,0.7,0.2537,13818,8,1,1,0,0
1074,18,0,1,0.76,0.62,0.2836,14078,8,1,1,0,0
1319,23,0,1,0.68,0.69,0.0896,14323,8,1,0,0,1
917,5,0,1,0.68,0.89,0.1642,13921,8,1,0,0,1
1173,21,0,0,0.66,0.61,0.0,14177,8,1,1,0,0
842,2,0,0,0.74,0.7,0.2985,13846,8,1,1,0,0
1262,14,0,1,0.76,0.45,0.1045,14266,8,1,1,0,0
656,8,0,0,0.74,0.66,0.1642,13660,7,1,1,0,0
651,3,0,0,0.72,0.7,0.0,13655,7,1,1,0,0
1066,10,0,1,0.7,0.79,0.1045,14070,8,1,1,0,0
1374,6,0,1,0.62,0.88,0.0,14378,8,1,1,0,0
525,21,0,0,0.7,0.79,0.1045,13529,7,1,1,0,0
409,1,0,1,0.76,0.66,0.1045,13413,7,1,1,0,0
169,1,0,0,0.82,0.56,0.1045,13173,7,1,1,0,0
221,5,0,1,0.66,0.83,0.1343,13225,7,1,1,0,0
302,14,0,1,0.8,0.38,0.0,13306,7,1,0,0,1
131,11,0,1,0.84,0.32,0.0896,13135,7,1,1,0,0
61,13,0,1,0.9,0.25,0.1343,13065,7,1,1,0,0
1326,6,0,0,0.64,0.78,0.1642,14330,8,1,0,0,1
1456,16,0,1,0.8,0.43,0.1642,14460,8,1,1,0,0
895,7,0,1,0.7,0.74,0.1343,13899,8,1,0,0,1
307,19,0,1,0.74,0.51,0.1642,13311,7,1,1,0,0
1258,10,0,1,0.7,0.61,0.0896,14262,8,1,1,0,0
28,4,0,1,0.72,0.54,0.2985,13032,7,1,0,0,1
185,17,0,0,0.78,0.59,0.0,13189,7,1,1,0,0
822,6,0,0,0.7,0.84,0.2239,13826,8,1,1,0,0
1473,9,0,1,0.74,0.7,0.0,14477,8,1,1,0,0
1183,7,0,0,0.62,0.69,0.1343,14187,8,1,0,0,1
1430,14,0,1,0.76,0.4,0.0896,14434,8,1,1,0,0
1424,8,0,1,0.66,0.61,0.1642,14428,8,1,1,0,0
458,2,0,1,0.66,0.89,0.0896,13462,7,1,0,0,1
547,19,0,1,0.8,0.52,0.2537,13551,7,1,1,0,0
42,18,0,1,0.84,0.32,0.1642,13046,7,1,1,0,0
18,18,0,0,0.88,0.32,0.3582,13022,7,1,1,0,0
623,23,0,1,0.72,0.7,0.1343,13627,7,1,1,0,0
1115,11,0,1,0.76,0.37,0.0896,14119,8,1,1,0,0
147,3,0,0,0.74,0.74,0.1343,13151,7,1,1,0,0
314,2,0,0,0.7,0.54,0.1045,13318,7,1,0,0,1
1440,0,0,1,0.64,0.69,0.0,14444,8,1,1,0,0
1412,20,0,1,0.72,0.48,0.1045,14416,8,1,1,0,0
320,8,0,0,0.62,0.78,0.2836,13324,7,1,1,0,0
1219,19,0,1,0.62,0.78,0.1939999999999999,14223,8,1,0,0,1
988,4,0,0,0.62,0.83,0.1045,13992,8,1,1,0,0
36,12,0,1,0.84,0.32,0.1939999999999999,13040,7,1,1,0,0
797,5,0,1,0.66,0.83,0.1642,13801,8,1,1,0,0
1388,20,0,1,0.74,0.7,0.1939999999999999,14392,8,1,1,0,0
798,6,0,1,0.66,0.83,0.2239,13802,8,1,1,0,0
1314,18,0,1,0.72,0.62,0.1939999999999999,14318,8,1,0,0,1
974,14,0,1,0.76,0.58,0.3582,13978,8,1,1,0,0
1157,5,0,0,0.6,0.78,0.2537,14161,8,1,1,0,0
782,14,0,1,0.86,0.41,0.1343,13786,8,1,1,0,0
31,7,0,1,0.74,0.51,0.1045,13035,7,1,1,0,0
384,0,0,1,0.72,0.84,0.1045,13388,7,1,1,0,0
1318,22,0,1,0.7,0.61,0.0,14322,8,1,0,0,1
35,11,0,1,0.84,0.28,0.2985,13039,7,1,1,0,0
1158,6,0,0,0.6,0.83,0.2239,14162,8,1,1,0,0
189,21,0,0,0.76,0.7,0.1343,13193,7,1,1,0,0
626,2,0,1,0.7,0.79,0.1343,13630,7,1,1,0,0
103,7,0,1,0.76,0.55,0.0,13107,7,1,1,0,0
1216,16,0,1,0.72,0.54,0.2537,14220,8,1,1,0,0
848,8,0,0,0.76,0.66,0.3284,13852,8,1,1,0,0
388,4,0,1,0.72,0.62,0.0,13392,7,1,1,0,0
556,4,0,1,0.66,0.83,0.0896,13560,7,1,1,0,0
385,1,0,1,0.74,0.7,0.0,13389,7,1,1,0,0
1455,15,0,1,0.8,0.46,0.1642,14459,8,1,1,0,0
1255,7,0,1,0.62,0.78,0.0,14259,8,1,1,0,0
927,15,0,1,0.84,0.44,0.1939999999999999,13931,8,1,0,0,1
935,23,0,1,0.72,0.7,0.1343,13939,8,1,1,0,0
1397,5,0,1,0.66,0.83,0.0896,14401,8,1,0,0,1
569,17,0,1,0.8,0.52,0.3284,13573,7,1,1,0,0
1033,1,0,1,0.66,0.65,0.0896,14037,8,1,1,0,0
310,22,0,1,0.74,0.45,0.0,13314,7,1,1,0,0
1058,2,0,1,0.68,0.83,0.1939999999999999,14062,8,1,0,0,1
252,12,0,1,0.78,0.43,0.0,13256,7,1,0,0,1
894,6,0,1,0.7,0.79,0.1939999999999999,13898,8,1,0,0,1
970,10,0,1,0.66,0.89,0.1045,13974,8,1,1,0,0
650,2,0,0,0.72,0.7,0.0,13654,7,1,1,0,0
12,12,0,0,0.9,0.37,0.2239,13016,7,1,1,0,0
524,20,0,0,0.7,0.74,0.1642,13528,7,1,1,0,0
316,4,0,0,0.66,0.61,0.1045,13320,7,1,0,1,0
1263,15,0,1,0.76,0.48,0.1343,14267,8,1,1,0,0
671,23,0,0,0.66,0.83,0.0896,13675,7,1,1,0,0
204,12,0,1,0.74,0.58,0.1343,13208,7,1,0,0,1
297,9,0,1,0.72,0.51,0.0,13301,7,1,0,0,1
529,1,0,1,0.66,0.89,0.1939999999999999,13533,7,1,1,0,0
840,0,0,0,0.74,0.7,0.2836,13844,8,1,1,0,0
453,21,0,1,0.66,0.89,0.2537,13457,7,1,0,1,0
1123,19,0,1,0.76,0.4,0.1045,14127,8,1,1,0,0
820,4,0,0,0.72,0.79,0.1939999999999999,13824,8,1,1,0,0
13,13,0,0,0.92,0.33,0.2537,13017,7,1,1,0,0
858,18,0,0,0.7,0.74,0.1343,13862,8,1,0,1,0
161,17,0,0,0.96,0.26,0.1343,13165,7,1,1,0,0
805,13,0,1,0.86,0.47,0.2836,13809,8,1,0,0,1
1099,19,0,1,0.7,0.61,0.1343,14103,8,1,1,0,0
659,11,0,0,0.84,0.39,0.2239,13663,7,1,1,0,0
76,4,1,0,0.68,0.69,0.2537,13080,7,1,1,0,0
550,22,0,1,0.74,0.62,0.1939999999999999,13554,7,1,1,0,0
949,13,0,1,0.86,0.41,0.1045,13953,8,1,1,0,0
440,8,0,1,0.76,0.58,0.2537,13444,7,1,1,0,0
1075,19,0,1,0.76,0.66,0.1939999999999999,14079,8,1,1,0,0
1146,18,0,1,0.82,0.38,0.2537,14150,8,1,0,0,1
512,8,0,0,0.64,0.78,0.0,13516,7,1,0,0,1
807,15,0,1,0.88,0.42,0.2537,13811,8,1,1,0,0
1292,20,0,1,0.7,0.61,0.1045,14296,8,1,1,0,0
873,9,0,1,0.7,0.79,0.1642,13877,8,1,0,1,0
793,1,0,1,0.7,0.74,0.1939999999999999,13797,8,1,1,0,0
1144,16,0,1,0.84,0.32,0.4478,14148,8,1,0,0,1
715,19,0,1,0.82,0.52,0.1642,13719,7,1,1,0,0
809,17,0,1,0.84,0.53,0.2836,13813,8,1,0,0,1
1357,13,0,0,0.66,0.78,0.4179,14361,8,1,0,1,0
356,20,0,0,0.72,0.79,0.2537,13360,7,1,1,0,0
1313,17,0,1,0.74,0.51,0.2239,14317,8,1,0,0,1
233,17,0,1,0.78,0.49,0.1939999999999999,13237,7,1,1,0,0
511,7,0,0,0.62,0.83,0.0,13515,7,1,0,0,1
603,3,0,1,0.66,0.69,0.2239,13607,7,1,1,0,0
1303,7,0,1,0.64,0.78,0.0,14307,8,1,0,0,1
918,6,0,1,0.7,0.84,0.1642,13922,8,1,0,0,1
1280,8,0,1,0.66,0.74,0.0896,14284,8,1,0,0,1
760,16,0,1,0.8,0.55,0.2836,13764,8,1,1,0,0
1398,6,0,1,0.66,0.89,0.1045,14402,8,1,0,0,1
348,12,0,0,0.84,0.47,0.1045,13352,7,1,1,0,0
911,23,0,1,0.72,0.79,0.0,13915,8,1,1,0,0
1019,11,0,0,0.74,0.42,0.1642,14023,8,1,1,0,0
985,1,0,0,0.66,0.74,0.2239,13989,8,1,1,0,0
48,0,0,1,0.72,0.54,0.0,13052,7,1,1,0,0
1474,10,0,1,0.76,0.62,0.0896,14478,8,1,1,0,0
249,9,0,1,0.7,0.74,0.1343,13253,7,1,0,0,1
155,11,0,0,0.94,0.38,0.1939999999999999,13159,7,1,1,0,0
