,displ,hp,weight,accel,size,origin_Asia,origin_Europe,origin_US
305,97.0,78,2190,14.1,10.0,0,1,0
338,140.0,86,2790,15.6,10.0,0,0,1
23,383.0,170,3563,10.0,20.0,0,0,1
214,258.0,110,3730,19.0,15.0,0,0,1
112,140.0,72,2401,19.5,10.0,0,0,1
388,151.0,90,2950,17.3,10.0,0,0,1
228,225.0,90,3381,18.7,15.0,0,0,1
349,121.0,80,2670,15.0,10.0,0,0,1
375,258.0,110,3632,18.0,15.0,0,0,1
59,91.0,67,1965,15.0,10.0,1,0,0
50,383.0,180,4955,11.5,20.0,0,0,1
38,98.0,70,2125,17.3,10.0,0,0,1
166,350.0,125,3900,17.4,20.0,0,0,1
194,260.0,90,3420,22.2,20.0,0,0,1
372,307.0,200,4376,15.0,20.0,0,0,1
80,145.0,76,3160,19.6,15.0,0,1,0
313,350.0,165,3693,11.5,20.0,0,0,1
251,83.0,61,2003,19.0,10.0,1,0,0
5,119.0,100,2615,14.8,10.0,1,0,0
75,140.0,92,2572,14.9,10.0,0,0,1
14,400.0,150,3761,9.5,20.0,0,0,1
47,318.0,150,4457,13.5,20.0,0,0,1
46,119.0,97,2300,14.7,10.0,1,0,0
123,121.0,67,2950,19.9,12.5,0,1,0
217,97.0,88,2100,16.5,10.0,1,0,0
79,116.0,75,2246,14.0,10.0,0,1,0
195,455.0,225,4951,11.0,20.0,0,0,1
30,168.0,132,2910,11.4,15.0,1,0,0
204,119.0,92,2434,15.0,10.0,1,0,0
345,318.0,140,3735,13.2,20.0,0,0,1
185,98.0,79,2255,17.7,10.0,0,0,1
101,121.0,110,2660,14.0,10.0,0,1,0
159,350.0,155,4502,13.5,20.0,0,0,1
157,108.0,75,2350,16.8,10.0,1,0,0
25,98.0,90,2265,15.5,10.0,0,1,0
246,307.0,130,3504,12.0,20.0,0,0,1
67,260.0,110,3365,15.5,20.0,0,0,1
224,105.0,70,2150,14.9,10.0,0,0,1
236,122.0,86,2395,16.0,10.0,0,0,1
231,199.0,97,2774,15.5,15.0,0,0,1
65,91.0,70,1955,20.5,10.0,0,0,1
247,91.0,53,1795,17.4,10.0,1,0,0
309,156.0,105,2800,14.4,10.0,0,0,1
317,350.0,180,4499,12.5,20.0,0,0,1
70,318.0,145,4140,13.7,20.0,0,0,1
180,262.0,85,3015,17.0,15.0,0,0,1
103,98.0,66,1800,14.4,10.0,0,0,1
319,304.0,120,3962,13.9,20.0,0,0,1
136,232.0,100,3288,15.5,15.0,0,0,1
382,231.0,105,3425,16.9,15.0,0,0,1
378,232.0,90,3265,18.2,15.0,0,0,1
68,318.0,210,4382,13.5,20.0,0,0,1
155,225.0,105,3613,16.5,15.0,0,0,1
77,173.0,115,2700,12.9,15.0,0,0,1
303,121.0,98,2945,14.5,10.0,0,1,0
199,151.0,90,3003,20.1,10.0,0,0,1
58,232.0,112,2835,14.7,15.0,0,0,1
125,89.0,71,1925,14.0,10.0,0,1,0
42,351.0,138,3955,13.2,20.0,0,0,1
4,97.0,78,2188,15.8,10.0,0,1,0
121,72.0,69,1613,18.0,10.0,1,0,0
343,140.0,92,2865,16.4,10.0,0,0,1
146,121.0,113,2234,12.5,10.0,0,1,0
310,198.0,95,2833,15.5,15.0,0,0,1
250,198.0,95,3102,16.5,15.0,0,0,1
109,131.0,103,2830,15.9,12.5,0,1,0
118,350.0,145,3988,13.0,20.0,0,0,1
229,250.0,110,3645,16.2,15.0,0,0,1
6,108.0,75,2265,15.2,10.0,1,0,0
238,85.0,70,1945,16.8,10.0,1,0,0
234,302.0,129,3169,12.0,20.0,0,0,1
244,318.0,150,4190,13.0,20.0,0,0,1
188,86.0,65,2110,17.9,10.0,1,0,0
193,225.0,100,3430,17.2,15.0,0,0,1
189,121.0,110,2600,12.8,10.0,0,1,0
211,86.0,65,1975,15.2,10.0,1,0,0
383,89.0,62,2050,17.3,10.0,1,0,0
3,250.0,98,3525,19.0,15.0,0,0,1
384,120.0,88,2160,14.5,10.0,1,0,0
122,318.0,150,3777,12.5,20.0,0,0,1
78,198.0,95,2904,16.0,15.0,0,0,1
64,225.0,100,3233,15.4,15.0,0,0,1
18,71.0,65,1836,21.0,10.0,1,0,0
151,350.0,180,4380,12.1,20.0,0,0,1
380,199.0,90,2648,15.0,15.0,0,0,1
43,400.0,180,4220,11.1,20.0,0,0,1
278,90.0,70,1937,14.0,10.0,0,1,0
163,120.0,87,2979,19.5,10.0,0,1,0
260,360.0,175,3821,11.0,20.0,0,0,1
140,90.0,48,2335,23.7,10.0,0,1,0
369,97.0,88,2279,19.0,10.0,1,0,0
385,156.0,122,2807,13.5,15.0,1,0,0
266,429.0,198,4341,10.0,20.0,0,0,1
291,304.0,150,4257,15.5,20.0,0,0,1
240,183.0,77,3530,20.1,12.5,0,1,0
168,351.0,142,4054,14.3,20.0,0,0,1
323,97.0,67,2145,18.0,10.0,1,0,0
45,79.0,67,1950,19.0,10.0,1,0,0
284,122.0,85,2310,18.5,10.0,0,0,1
143,140.0,88,2870,18.1,10.0,0,0,1
225,429.0,208,4633,11.0,20.0,0,0,1
227,120.0,74,2635,18.3,10.0,1,0,0
197,98.0,65,2045,16.2,10.0,0,0,1
21,231.0,110,3907,21.0,15.0,0,0,1
290,134.0,96,2702,13.5,10.0,1,0,0
108,85.0,70,1990,17.0,10.0,1,0,0
177,104.0,95,2375,17.5,10.0,0,1,0
57,200.0,85,3070,16.7,15.0,0,0,1
296,171.0,97,2984,14.5,15.0,0,0,1
299,97.0,67,1985,16.4,10.0,1,0,0
387,250.0,88,3021,16.5,15.0,0,0,1
391,140.0,88,2720,15.4,10.0,0,0,1
170,250.0,105,3353,14.5,15.0,0,0,1
29,120.0,75,2542,17.5,10.0,1,0,0
162,135.0,84,2490,15.7,10.0,0,0,1
149,141.0,80,3230,20.4,10.0,0,1,0
366,168.0,116,2900,12.6,15.0,1,0,0
357,318.0,150,4077,14.0,20.0,0,0,1
94,91.0,68,1985,16.0,10.0,1,0,0
218,318.0,150,4498,14.5,20.0,0,0,1
355,88.0,76,2065,14.5,10.0,0,1,0
292,90.0,75,2125,14.5,10.0,0,0,1
132,105.0,74,2190,14.2,10.0,0,1,0
187,258.0,120,3410,15.1,15.0,0,0,1
89,400.0,175,5140,12.0,20.0,0,0,1
237,400.0,150,4997,14.0,20.0,0,0,1
34,107.0,86,2464,15.5,10.0,0,1,0
72,318.0,150,4237,14.5,20.0,0,0,1
354,108.0,94,2379,16.5,10.0,1,0,0
294,231.0,110,3415,15.8,15.0,0,0,1
139,140.0,90,2264,15.5,10.0,0,0,1
381,90.0,71,2223,16.5,10.0,0,1,0
367,232.0,100,2901,16.0,15.0,0,0,1
111,304.0,150,3672,11.5,20.0,0,0,1
324,225.0,95,3785,19.0,15.0,0,0,1
12,135.0,84,2295,11.6,10.0,0,0,1
87,440.0,215,4312,8.5,20.0,0,0,1
198,120.0,97,2506,14.5,10.0,1,0,0
213,225.0,100,3651,17.7,15.0,0,0,1
