,mpg
305,30.5
338,27.0
23,15.0
214,15.0
112,21.0
388,27.0
228,19.1
349,27.4
375,16.0
59,38.0
50,12.0
38,36.0
166,23.0
194,23.9
372,10.0
80,30.7
313,15.0
251,32.0
5,32.9
75,25.0
14,15.0
47,14.0
46,27.2
123,36.4
217,27.0
79,26.0
195,12.0
30,32.7
204,37.0
345,19.4
185,26.0
101,24.0
159,13.0
157,32.4
25,26.0
246,18.0
67,19.9
224,34.5
236,22.0
231,18.0
65,26.0
247,33.0
309,27.9
317,12.0
70,15.5
180,38.0
103,36.1
319,15.5
136,18.0
382,20.5
378,20.2
68,11.0
155,18.0
77,26.8
303,22.0
199,24.3
58,22.0
125,31.9
42,16.5
4,34.3
121,35.0
343,24.0
146,26.0
310,22.0
250,20.0
109,20.3
118,13.0
229,18.5
6,32.2
238,33.5
234,13.0
244,16.0
188,46.6
193,20.5
189,21.5
211,34.1
383,37.7
3,18.5
384,36.0
122,15.0
78,23.0
64,22.0
18,32.0
151,16.5
380,21.0
43,16.0
278,29.0
163,21.0
260,13.0
140,43.4
369,20.0
385,20.0
266,15.0
291,14.0
240,25.4
168,15.5
323,33.8
45,31.0
284,19.0
143,26.4
225,11.0
227,31.6
197,34.4
21,17.0
290,24.0
108,32.0
177,25.0
57,20.8
296,18.0
299,30.0
387,18.0
391,25.1
170,22.0
29,31.3
162,27.2
149,28.1
366,25.4
357,14.0
94,34.1
218,16.0
355,30.0
292,28.0
132,33.0
187,18.1
89,13.0
237,11.0
34,28.0
72,14.0
354,22.0
294,22.4
139,28.0
381,25.0
367,19.0
111,17.0
324,18.0
12,32.0
87,14.0
198,23.0
213,20.0
370,27.0
332,17.0
164,19.0
175,15.0
389,29.5
306,16.0
96,44.6
205,33.0
374,26.0
41,36.0
63,25.0
222,14.0
196,20.2
248,31.8
13,14.0
262,36.0
179,34.0
17,31.0
233,20.2
11,24.5
280,26.6
207,15.0
90,24.5
51,17.6
85,20.0
124,30.0
161,28.0
88,38.0
287,29.5
344,26.5
95,13.0
270,14.0
39,29.0
86,13.0
181,30.0
265,30.0
116,39.1
145,28.0
158,27.0
321,26.0
311,29.8
286,23.0
272,13.0
200,19.0
71,26.0
301,17.5
330,23.0
282,32.8
327,32.4
365,14.0
304,34.2
133,14.0
60,31.0
314,14.0
377,26.0
100,20.0
19,21.5
302,28.8
364,29.0
264,19.0
276,26.0
8,15.0
92,25.0
252,13.0
32,23.0
135,37.2
22,16.0
62,16.0
379,13.0
215,38.1
325,13.0
334,23.0
257,19.0
52,25.0
326,20.0
173,15.0
35,24.0
178,17.5
167,19.0
226,16.0
120,27.0
275,21.1
44,29.9
300,18.0
76,22.5
208,34.7
212,33.7
267,11.0
216,26.0
342,39.0
9,17.0
320,35.7
359,23.8
285,31.0
295,36.0
104,23.0
312,17.7
341,33.5
386,37.0
91,13.0
182,19.8
315,15.5
358,22.0
172,14.0
232,35.0
36,14.0
156,33.5
2,36.1
242,14.0
308,41.5
289,19.0
48,32.1
141,20.6
223,31.5
183,25.0
331,14.0
348,14.0
160,31.0
219,17.0
99,23.2
235,31.0
117,14.5
1,9.0
113,13.0
368,12.0
174,27.0
253,23.7
347,25.5
184,21.0
165,25.0
274,21.0
192,15.5
0,18.0
54,29.0
28,21.0
206,18.0
49,15.0
350,13.0
20,19.0
293,21.0
176,30.5
335,24.0
33,17.6
171,29.0
7,22.0
318,29.0
390,17.5
106,18.0
97,20.5
110,27.0
360,24.0
69,28.0
346,15.0
129,18.6
316,17.5
258,32.3
322,30.0
150,13.0
337,15.0
26,32.0
93,24.0
148,25.8
119,20.2
138,18.0
169,23.9
363,30.0
202,23.5
147,13.0
277,28.0
256,18.0
131,25.0
249,13.0
152,31.5
362,26.0
